name,id,home,team,pos,defense_ast,defense_ffum,defense_int,defense_sk,defense_tkl,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,kicking_fga,kicking_fgm,kicking_fgyds,kicking_totpfg,kicking_xpa,kicking_xpb,kicking_xpmade,kicking_xpmissed,kicking_xptot,kickret_avg,kickret_lng,kickret_lngtd,kickret_ret,kickret_tds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,punting_avg,punting_i20,punting_lng,punting_pts,punting_yds,puntret_avg,puntret_lng,puntret_lngtd,puntret_ret,puntret_tds,receiving_lng,receiving_lngtd,receiving_rec,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
T.Siemian,00-0032156,no,DEN,QB,,,,,,2,0,4,0,-1,,,,,,,,,,,,,,,486,289,10,18,1,1,3402,,,,,,,,,,,,,,,,,,28,42,0,0,1,0,57
A.Janovich,00-0032956,no,DEN,FB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,0,5,0,0,0,44,4,33,28,1,0,0,33
D.Booker,00-0032972,no,DEN,RB,,,,,,3,2,4,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,43,31,1,0,0,265,174,152,21,4,0,0,612
C.Anderson,00-0029854,no,DEN,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,25,16,1,0,0,128,110,106,13,4,0,0,437
V.Green,00-0028142,no,DEN,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,2,22,1,0,0,237,,,,,,,
E.Sanders,00-0027685,no,DEN,WR,,,,,,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379,84,79,5,0,0,1032,1,4,0,0,0,0,4
D.Thomas,00-0027874,no,DEN,WR,,,,,,2,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404,75,90,5,1,1,1083,,,,,,,
K.Bibbs,00-0031102,no,DEN,RB,,,,,,0,1,0,1,0,,,,,,,,,,19,26,0,4,0,,,,,,,,,,,,,,,,,,75,69,2,1,0,0,75,29,72,0,0,0,0,129
B.McManus,00-0029822,no,DEN,K,,,,,,,,,,,34,29,584,87,32,1,32,0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,0,0,0,0,6
R.Dixon,00-0032943,no,DEN,P,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,0,16,661,28,890,89,4068,,,,,,,,,,,,,,,,,,,
J.Norwood,00-0026739,no,DEN,,,,,,,3,1,5,1,0,,,,,,,,,,42,46,0,3,0,,,,,,,,,,,,,110,148,0,25,0,150,36,21,1,0,0,233,1,0,0,0,0,0,0
B.Roby,00-0031372,no,DEN,CB,5,1,2,1,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K.Webster,00-0030523,no,DEN,DB,1,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
